index,type,start_ms,duration_ms,units
630,SPACE,407.305563,0.928187,2
631,MARK,408.233750,1.292938,3
632,SPACE,409.526687,0.412938,1
633,MARK,409.939625,0.516437,1
634,SPACE,410.456062,0.414812,1
635,MARK,410.870875,0.386938,1
636,SPACE,411.257812,0.412062,1
637,MARK,411.669875,0.388813,1
638,SPACE,412.058688,1.342812,3
639,MARK,413.401500,1.934687,5
640,SPACE,415.336187,0.413187,1
641,MARK,415.749375,0.388188,1
642,SPACE,416.137563,0.412438,1
643,MARK,416.550000,0.515938,1
644,SPACE,417.065937,0.827937,2
645,MARK,417.893875,0.774188,2
646,SPACE,418.668063,0.411562,1
647,MARK,419.079625,0.776000,2
648,SPACE,419.855625,0.413062,1
649,MARK,420.268687,0.516062,1
650,SPACE,420.784750,0.414500,1
651,MARK,421.199250,0.386750,1
652,SPACE,421.586000,0.928312,2
653,MARK,422.514313,1.293813,3
654,SPACE,423.808125,0.411937,1
655,MARK,424.220062,0.387437,1
656,SPACE,424.607500,0.414812,1
657,MARK,425.022312,0.515938,1
658,SPACE,425.538250,0.414187,1
659,MARK,425.952438,0.386687,1
660,SPACE,426.339125,1.342875,3
661,MARK,427.682000,1.934500,5
662,SPACE,429.616500,0.413375,1
663,MARK,430.029875,0.388875,1
664,SPACE,430.418750,0.411687,1
665,MARK,430.830438,0.387437,1
666,SPACE,431.217875,0.827250,2
667,MARK,432.045125,0.903375,2
668,SPACE,432.948500,0.411750,1
669,MARK,433.360250,0.776813,2
670,SPACE,434.137063,0.412125,1
671,MARK,434.549188,0.386875,1
672,SPACE,434.936062,0.414625,1
673,MARK,435.350687,0.515938,1
674,SPACE,435.866625,0.930375,2
675,MARK,436.797000,1.291438,3
676,SPACE,438.088437,0.412062,1
677,MARK,438.500500,0.388313,1
678,SPACE,438.888813,0.413813,1
679,MARK,439.302625,0.387062,1
680,SPACE,439.689687,0.412938,1
681,MARK,440.102625,0.517063,1
682,SPACE,440.619687,1.342625,3
683,MARK,441.962312,1.934625,5
684,SPACE,443.896937,0.413375,1
685,MARK,444.310313,0.388875,1
686,SPACE,444.699187,0.411750,1
687,MARK,445.110938,0.387875,1
688,SPACE,445.498812,0.826687,2
689,MARK,446.325500,0.903500,2
690,SPACE,447.229000,0.413938,1
691,MARK,447.642938,0.774500,2
692,SPACE,448.417438,0.412187,1
693,MARK,448.829625,0.387937,1
694,SPACE,449.217562,0.413562,1
695,MARK,449.631125,0.387062,1
696,SPACE,450.018188,0.928875,2
697,MARK,450.947063,1.421812,3
698,SPACE,452.368875,0.412125,1
699,MARK,452.781000,0.388250,1
700,SPACE,453.169250,0.413875,1
701,MARK,453.583125,0.388000,1
702,SPACE,453.971125,0.412000,1
703,MARK,454.383125,0.388250,1
704,SPACE,454.771375,1.343375,3
705,MARK,456.114750,2.062688,5
706,SPACE,458.177437,0.415438,1
707,MARK,458.592875,0.386813,1
708,SPACE,458.979688,0.411687,1
709,MARK,459.391375,0.387812,1
710,SPACE,459.779188,0.826750,2
711,MARK,460.605937,0.774625,2
712,SPACE,461.380562,0.412438,1
713,MARK,461.793000,0.904875,2
714,SPACE,462.697875,0.412062,1
715,MARK,463.109938,0.388063,1
716,SPACE,463.498000,0.413562,1
717,MARK,463.911563,0.387688,1
718,SPACE,464.299250,0.928125,2
719,MARK,465.227375,1.422000,3
720,SPACE,466.649375,0.413438,1
721,MARK,467.062813,0.386938,1
722,SPACE,467.449750,0.413813,1
723,MARK,467.863563,0.387875,1
724,SPACE,468.251437,0.412125,1
725,MARK,468.663563,0.388875,1
726,SPACE,469.052437,1.342750,3
727,MARK,470.395187,1.933812,5
728,SPACE,472.329000,0.414062,1
729,MARK,472.743062,0.517063,1
730,SPACE,473.260125,0.412812,1
731,MARK,473.672937,0.386687,1
732,SPACE,474.059625,0.826750,2
733,MARK,474.886375,0.775375,2
734,SPACE,475.661750,0.411562,1
735,MARK,476.073312,0.905000,2
736,SPACE,476.978313,0.413312,1
737,MARK,477.391625,0.386813,1
738,SPACE,477.778437,0.413438,1
739,MARK,478.191875,0.387812,1
740,SPACE,478.579688,0.928187,2
741,MARK,479.507875,1.292875,3
742,SPACE,480.800750,0.413000,1
743,MARK,481.213750,0.516437,1
744,SPACE,481.730187,0.414812,1
745,MARK,482.145000,0.386938,1
746,SPACE,482.531938,0.412062,1
747,MARK,482.944000,0.388813,1
748,SPACE,483.332812,1.342812,3
749,MARK,484.675625,1.934687,5
750,SPACE,486.610312,0.413187,1
